samplesize,run,shrinkage,LossFunc,Predictors,OptNumTrees,TPR,TNR,Accuracy,AUC,Concordance
7000,1,0.04,adaboost,37,301,0.736571429,0.673428571,0.705,0.781022327,0.781017796
7000,1,0.05,bernoulli,37,327,0.75,0.682857143,0.716428571,0.789479102,0.789475755
7000,1,0.05,adaboost,37,239,0.735142857,0.678571429,0.706857143,0.780396327,0.780390612
7000,1,0.06,bernoulli,35,322,0.742857143,0.690857143,0.716857143,0.79151151,0.791509633
7000,1,0.06,adaboost,37,240,0.740285714,0.679428571,0.709857143,0.784545755,0.784540571
7000,1,0.07,bernoulli,35,182,0.741428571,0.678,0.709714286,0.783672449,0.783664571
7000,1,0.07,adaboost,37,176,0.738285714,0.676571429,0.707428571,0.78172098,0.781711592
7000,1,0.08,bernoulli,31,131,0.732571429,0.672857143,0.702714286,0.778833429,0.778823265
7000,1,0.08,adaboost,37,168,0.748285714,0.665142857,0.706714286,0.782473714,0.782460408
7000,1,0.09,bernoulli,32,143,0.741142857,0.673428571,0.707285714,0.783004408,0.782997143
7000,1,0.09,adaboost,36,177,0.738571429,0.676285714,0.707428571,0.785113959,0.785109143
7000,1,0.1,bernoulli,36,134,0.743714286,0.674285714,0.709,0.783752449,0.783745714
7000,1,0.1,adaboost,31,82,0.743714286,0.657428571,0.700571429,0.774307265,0.774289224
7000,2,0.001,bernoulli,37,17514,0.736571429,0.696285714,0.716428571,0.79060302,0.79060302
7000,2,0.001,adaboost,37,16173,0.733714286,0.684,0.708857143,0.786344163,0.786344163
7000,2,0.01,bernoulli,37,1968,0.740571429,0.697142857,0.718857143,0.793042204,0.793042204
7000,2,0.01,adaboost,37,1169,0.731428571,0.673142857,0.702285714,0.779236286,0.779236163
7000,2,0.02,bernoulli,37,685,0.733714286,0.683714286,0.708714286,0.783925347,0.783924898
7000,2,0.02,adaboost,36,764,0.729142857,0.688571429,0.708857143,0.784798204,0.784798122
7000,2,0.03,bernoulli,37,584,0.734571429,0.697428571,0.716,0.78930951,0.789308735
7000,2,0.03,adaboost,37,429,0.730857143,0.677142857,0.704,0.780150612,0.780149878
7000,2,0.04,bernoulli,37,426,0.737714286,0.690285714,0.714,0.788893347,0.788892816
7000,2,0.04,adaboost,37,461,0.740857143,0.687714286,0.714285714,0.789301429,0.789300653
7000,2,0.05,bernoulli,37,355,0.736857143,0.694,0.715428571,0.788674041,0.788673224
