"samplesize","run","Num_Round","LearningRate","Accuracy","AUC","Concordance"
8000,2,500,0.03,0.72525,0.7919975,0.7919975
8000,2,500,0.05,0.721375,0.79000240625,0.790002375
8000,2,500,0.07,0.716875,0.78754303125,0.7875429375
8000,2,500,0.1,0.717625,0.77898815625,0.778988125
8000,3,100,0.005,0.70725,0.77594534375,0.7759453125
8000,3,100,0.01,0.7075,0.78088334375,0.7808833125
8000,3,100,0.03,0.71125,0.78700796875,0.7870079375
8000,3,100,0.05,0.70575,0.7878160625,0.7878160625
8000,3,100,0.07,0.711125,0.786994625,0.786994625
8000,3,100,0.1,0.705125,0.78921684375,0.7892168125
8000,3,200,0.005,0.706,0.78291178125,0.78291175
8000,3,200,0.01,0.709375,0.7883050625,0.7883050625
8000,3,200,0.03,0.7055,0.785789,0.785789
8000,3,200,0.05,0.713125,0.791504125,0.791504125
8000,3,200,0.07,0.698625,0.7831791875,0.783179125
8000,3,200,0.1,0.727375,0.795774,0.795773875
8000,3,300,0.005,0.711875,0.78683884375,0.7868388125
8000,3,300,0.01,0.71575,0.790128875,0.790128875
8000,3,300,0.03,0.717125,0.793898375,0.793898375
8000,3,300,0.05,0.69625,0.78903390625,0.789033875
8000,3,300,0.07,0.71975,0.79707359375,0.7970735625
8000,3,300,0.1,0.731625,0.801726875,0.801726875
8000,3,400,0.005,0.7155,0.79105303125,0.791053
8000,3,400,0.01,0.719875,0.79356025,0.7935601875
8000,3,400,0.03,0.728625,0.802471125,0.802471125
8000,3,400,0.05,0.7305,0.8025421875,0.8025421875
8000,3,400,0.07,0.726,0.80803459375,0.8080345625
8000,3,400,0.1,0.694,0.758298375,0.7582983125
8000,3,500,0.005,0.716875,0.7911955,0.7911955
8000,3,500,0.01,0.714,0.795153,0.795153
8000,3,500,0.03,0.7295,0.79786371875,0.7978636875
8000,3,500,0.05,0.70125,0.79857321875,0.7985731875
8000,3,500,0.07,0.735125,0.816693625,0.816693625
8000,3,500,0.1,0.72125,0.79273125,0.792731
9000,1,100,0.005,0.708444444444444,0.775835012345679,0.775834962962963
9000,1,100,0.01,0.71,0.777059802469136,0.777059703703704
9000,1,100,0.03,0.707,0.781367654320988,0.781367604938272
9000,1,100,0.05,0.717666666666667,0.787121950617284,0.787121925925926
9000,1,100,0.07,0.710444444444444,0.783006913580247,0.783006864197531
9000,1,100,0.1,0.696555555555556,0.782867604938272,0.782867456790123
9000,1,200,0.005,0.709444444444444,0.778747827160494,0.778747802469136
9000,1,200,0.01,0.709,0.78055575308642,0.780555703703704
9000,1,200,0.03,0.715333333333333,0.784959111111111,0.784959061728395
9000,1,200,0.05,0.708888888888889,0.785612617283951,0.785612543209877
9000,1,200,0.07,0.722666666666667,0.790459358024691,0.790459308641975
9000,1,200,0.1,0.714777777777778,0.778795185185185,0.778795061728395
9000,1,300,0.005,0.705555555555556,0.77747,0.777469975308642
9000,1,300,0.01,0.714333333333333,0.784040913580247,0.784040839506173
9000,1,300,0.03,0.711888888888889,0.789682888888889,0.789682864197531
9000,1,300,0.05,0.719,0.790365135802469,0.790365086419753
9000,1,300,0.07,0.731666666666667,0.794561703703704,0.79456162962963
9000,1,300,0.1,0.554222222222222,0.734535456790123,0.734535407407407
9000,1,400,0.005,0.717444444444444,0.787021061728395,0.787020987654321
9000,1,400,0.01,0.721777777777778,0.79467212345679,0.794672098765432
9000,1,400,0.03,0.723333333333333,0.801568320987654,0.801568296296296
9000,1,400,0.05,0.719777777777778,0.792403703703704,0.792403654320988
9000,1,400,0.07,0.722777777777778,0.788829061728395,0.788829037037037
9000,1,400,0.1,0.738222222222222,0.802685185185185,0.802685135802469
9000,1,500,0.005,0.715888888888889,0.78799950617284,0.787999456790124
9000,1,500,0.01,0.723666666666667,0.798189407407407,0.798189382716049
9000,1,500,0.03,0.725444444444444,0.797835111111111,0.797835061728395
9000,1,500,0.05,0.731777777777778,0.792511728395062,0.792511703703704
9000,1,500,0.07,0.740888888888889,0.806232592592593,0.80623249382716
9000,1,500,0.1,0.740888888888889,0.791833975308642,0.79183387654321
9000,2,100,0.005,0.692666666666667,0.762445777777778,0.762445728395062
9000,2,100,0.01,0.696444444444444,0.765648074074074,0.765648049382716
9000,2,100,0.03,0.703555555555556,0.77464249382716,0.774642469135802
9000,2,100,0.05,0.704222222222222,0.777000839506173,0.777000790123457
9000,2,100,0.07,0.695,0.773335851851852,0.773335851851852
9000,2,100,0.1,0.668666666666667,0.768096296296296,0.76809624691358
9000,2,200,0.005,0.697777777777778,0.768653185185185,0.768653185185185
9000,2,200,0.01,0.699,0.773282740740741,0.773282716049383
9000,2,200,0.03,0.705333333333333,0.77910975308642,0.779109728395062
9000,2,200,0.05,0.693,0.766663827160494,0.766663802469136
9000,2,200,0.07,0.714555555555556,0.785180518518519,0.78518049382716
9000,2,200,0.1,0.698777777777778,0.765448395061728,0.765448395061728
9000,2,300,0.005,0.701444444444444,0.773428320987654,0.773428296296296
9000,2,300,0.01,0.700222222222222,0.776986518518519,0.776986518518519
9000,2,300,0.03,0.703333333333333,0.779219308641975,0.779219308641975
9000,2,300,0.05,0.713777777777778,0.784177111111111,0.784177086419753
9000,2,300,0.07,0.705333333333333,0.778102172839506,0.77810212345679
9000,2,300,0.1,0.704111111111111,0.779483209876543,0.779483160493827
9000,2,400,0.005,0.700666666666667,0.777735580246914,0.777735555555556
9000,2,400,0.01,0.706888888888889,0.782529185185185,0.782529185185185
9000,2,400,0.03,0.715888888888889,0.795174296296296,0.795174271604938
9000,2,400,0.05,0.693777777777778,0.776022,0.776021975308642
9000,2,400,0.07,0.718,0.782990320987654,0.782990222222222
9000,2,400,0.1,0.705222222222222,0.777178790123457,0.777178765432099
9000,2,500,0.005,0.704444444444444,0.777282148148148,0.77728212345679
9000,2,500,0.01,0.707555555555556,0.784053185185185,0.784053185185185
9000,2,500,0.03,0.714111111111111,0.789223950617284,0.789223950617284
9000,2,500,0.05,0.701777777777778,0.799926345679012,0.799926320987654
9000,2,500,0.07,0.719,0.796694222222222,0.796694172839506
9000,2,500,0.1,0.718777777777778,0.774012666666667,0.774012641975309
9000,3,100,0.005,0.704666666666667,0.773678419753086,0.77367837037037
9000,3,100,0.01,0.704333333333333,0.777988049382716,0.777988049382716
9000,3,100,0.03,0.714555555555556,0.786948938271605,0.786948938271605
9000,3,100,0.05,0.704777777777778,0.784912518518519,0.78491249382716
9000,3,100,0.07,0.704777777777778,0.776944913580247,0.776944888888889
9000,3,100,0.1,0.679333333333333,0.786506098765432,0.786506074074074
9000,3,200,0.005,0.709333333333333,0.782100444444444,0.782100444444444
9000,3,200,0.01,0.714111111111111,0.79099824691358,0.790998222222222
9000,3,200,0.03,0.714111111111111,0.789842197530864,0.789842172839506
9000,3,200,0.05,0.715333333333333,0.793158691358025,0.793158617283951
9000,3,200,0.07,0.705222222222222,0.784925580246914,0.784925580246914
9000,3,200,0.1,0.711,0.778351827160494,0.778351802469136
9000,3,300,0.005,0.708555555555556,0.784134913580247,0.784134913580247
9000,3,300,0.01,0.711,0.786660691358025,0.786660641975309
9000,3,300,0.03,0.723333333333333,0.801742074074074,0.801742074074074
9000,3,300,0.05,0.711777777777778,0.788521185185185,0.788521135802469
